LON,LAT,,,,,,,,
-120.8145630000,35.1893446700,,,,,,,,
-120.8179500000,35.1909356500,,,,,,,,
-120.8186000000,35.1912409600,,,,,,,,
-120.8188640000,35.1913649500,,,,,,,,
-120.8190670000,35.1914604500,,,,,,,,
-120.8202190000,35.1920016700,,,,,,,,
-120.8214190000,35.1925650300,,,,,,,,
-120.8223900000,35.1930214600,,,,,,,,
-120.8258780000,35.1946600300,,,,,,,,
-120.8264750000,35.1949404400,,,,,,,,
-120.8296900000,35.1964507700,,,,,,,,
-120.8451750000,35.2037249300,,,,,,,,
-120.8466300000,35.2044084400,,,,,,,,
-120.8466740000,35.2044290000,,,,,,,,
-120.8467250000,35.2044402100,,,,,,,,
-120.8469750000,35.2044951100,,,,,,,,
-120.8470750000,35.2045171000,,,,,,,,
-120.8472640000,35.2045587000,,,,,,,,
-120.8475900000,35.2046301400,,,,,,,,
-120.8477580000,35.2046671500,,,,,,,,
-120.8485760000,35.2048467700,,,,,,,,
-120.8514090000,35.2054688200,,,,,,,,
-120.8519620000,35.2055902500,,,,,,,,
-120.8524740000,35.2057026800,,,,,,,,
-120.8544520000,35.2061369100,,,,,,,,
-120.8551130000,35.2062819900,,,,,,,,
-120.8560470000,35.2064870000,,,,,,,,
-120.8562140000,35.2066759600,,,,,,,,
-120.8570680000,35.2076409500,,,,,,,,
-120.8582260000,35.2089489200,,,,,,,,
-120.8612760000,35.2123940200,,,,,,,,
-120.8614540000,35.2125945000,,,,,,,,
-120.8670850000,35.2189552800,,,,,,,,
-120.8730460000,35.2256880000,,,,,,,,
-120.8731480000,35.2257837600,,,,,,,,
-120.8759860000,35.2284357900,,,,,,,,
-120.8764230000,35.2288439500,,,,,,,,
-120.8772550000,35.2296216600,,,,,,,,
-120.8773660000,35.2297252700,,,,,,,,
-120.8793920000,35.2316192700,,,,,,,,
-120.8921290000,35.2435213700,,,,,,,,
-120.8967370000,35.2478278500,,,,,,,,
-120.8967900000,35.2478770000,,,,,,,,
-120.8968350000,35.2511220000,,,,,,,,
-120.8968420000,35.2516286500,,,,,,,,
-120.8968760000,35.2539900000,,,,,,,,
-120.8968600000,35.2540381200,,,,,,,,
-120.8952800000,35.2590440000,,,,,,,,
-120.8952720000,35.2590697000,,,,,,,,
-120.8948650000,35.2603583800,,,,,,,,
-120.8941470000,35.2626325000,,,,,,,,
-120.8937910000,35.2637623400,,,,,,,,
-120.8937090000,35.2640209000,,,,,,,,
-120.8934230000,35.2649264800,,,,,,,,
-120.8908480000,35.2730855700,,,,,,,,
-120.8896560000,35.2768612100,,,,,,,,
-120.8893770000,35.2777446800,,,,,,,,
-120.8893540000,35.2778190000,,,,,,,,
-120.8892760000,35.2779490700,,,,,,,,
-120.8831620000,35.2881754600,,,,,,,,
-120.8830910000,35.2882940400,,,,,,,,
-120.8827860000,35.2888046800,,,,,,,,
-120.8826850000,35.2889723300,,,,,,,,
-120.8818890000,35.2903044900,,,,,,,,
-120.8817500000,35.2905362600,,,,,,,,
-120.8795700000,35.2941840000,,,,,,,,
-120.8749800000,35.3064163400,,,,,,,,
-120.8672000000,35.3271540000,,,,,,,,
-120.8635820000,35.3428727600,,,,,,,,
-120.8626840000,35.3467760000,,,,,,,,
-120.8624800000,35.3519316500,,,,,,,,
-120.8624680000,35.3522397100,,,,,,,,
-120.8624040000,35.3538661600,,,,,,,,
-120.8621330000,35.3607439700,,,,,,,,
-120.8621330000,35.3607630000,,,,,,,,
-120.8621560000,35.3609508800,,,,,,,,
-120.8633620000,35.3707668500,,,,,,,,
-120.8640450000,35.3763273500,,,,,,,,
-120.8641800000,35.3774249400,,,,,,,,
-120.8644210000,35.3793921000,,,,,,,,
-120.8647290000,35.3818984500,,,,,,,,
-120.8649490000,35.3836895400,,,,,,,,
-120.8655440000,35.3885313800,,,,,,,,
-120.8655660000,35.3887143900,,,,,,,,
-120.8660940000,35.3930081400,,,,,,,,
-120.8660990000,35.3930450000,,,,,,,,
-120.8661590000,35.3932444800,,,,,,,,
-120.8680920000,35.3996042300,,,,,,,,
